function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,64,262144,4096,10,5790,120964,120897,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,4096,10,5650,123933,123840,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,4096,10,5626,124573,124487,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,4096,10,6070,115288,115264,ns,,,,,,2.09961,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,4096,10,5459,128264,128209,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,4096,10,5470,128068,127999,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,4096,10,5436,128784,128699,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,4096,10,5383,130087,130005,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8192,10,2902,241173,241159,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,8192,10,1220,573623,573611,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,8192,10,958,730226,730210,ns,,,,,,50,6,8656
TestBloomFilterStringQuery,512,1000,8192,10,434,1.61296e+06,1.61297e+06,ns,,,,,,98.3032,9,12984
TestBloomFilterStringQuery,2048,1000,8192,10,1001,699304,699287,ns,,,,,,25,11,15872
TestBloomFilterStringQuery,2,4096,8192,10,2919,239795,239783,ns,,,,,,100,1,5912
TestBloomFilterStringQuery,8,4096,8192,10,2262,309419,309402,ns,,,,,,25,3,17728
TestBloomFilterStringQuery,64,4096,8192,10,1612,434356,434343,ns,,,,,,24.9512,6,35456
TestBloomFilterStringQuery,512,4096,8192,10,1226,570688,570670,ns,,,,,,24.6582,9,53184
TestBloomFilterStringQuery,2048,4096,8192,10,785,892127,892104,ns,,,,,,23.8281,11,65008
TestBloomFilterStringQuery,2,32768,8192,10,2990,234156,234140,ns,,,,,,48.0225,1,47280
TestBloomFilterStringQuery,8,32768,8192,10,2277,307440,307429,ns,,,,,,23.3154,3,141824
TestBloomFilterStringQuery,64,32768,8192,10,1965,356137,356120,ns,,,,,,7.92236,6,283648
TestBloomFilterStringQuery,512,32768,8192,10,2150,325676,325644,ns,,,,,,0.769043,9,425472
TestBloomFilterStringQuery,2048,32768,8192,10,1936,362553,362515,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8192,10,2843,246246,246232,ns,,,,,,15.4663,1,378200
TestBloomFilterStringQuery,8,262144,8192,10,2503,280027,279998,ns,,,,,,0.280762,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8192,10,2799,250008,249941,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8192,10,2810,248889,248823,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8192,10,2802,249892,249821,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8192,10,3003,233124,233101,ns,,,,,,4.8584,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8192,10,2650,264118,264069,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8192,10,2770,252715,252662,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8192,10,2739,255750,255684,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8192,10,2689,260294,260219,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8,64,558775,1252.21,1251.82,ns,,,,,,12.5,1,1448
TestBloomFilterStringQuery,8,1000,8,64,557886,1254.32,1253.63,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,64,561720,1247.31,1246.42,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,64,562836,1244.41,1243.52,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,64,558583,1254.84,1253.99,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,64,561675,1246.36,1245.89,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,64,561762,1247.15,1246.47,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,64,560563,1248.52,1247.89,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,64,562091,1247.15,1246.24,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,64,560313,1247.55,1246.27,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,64,561656,1246.58,1246.08,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,64,560852,1249.17,1248.32,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,64,560994,1247.96,1247.17,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,64,560258,1247.97,1246.78,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,64,560010,1250.92,1249.77,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,64,561265,1248.42,1247.83,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,64,559962,1251.08,1250.44,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,64,559520,1251.8,1250.87,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,64,561702,1247.55,1246.4,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,64,560475,1248.54,1247.41,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8,64,560190,1250.76,1250.23,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8,64,560330,1250.57,1249.69,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8,64,560632,1250.28,1249.38,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8,64,560219,1248.24,1247.23,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8,64,559299,1250,1249.01,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,64,64,230033,3047.74,3044.26,ns,,,,,,37.5,1,1448
TestBloomFilterStringQuery,8,1000,64,64,197407,3534.44,3533.56,ns,,,,,,3.125,3,4328
TestBloomFilterStringQuery,64,1000,64,64,225743,3103.23,3100.29,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,64,64,230661,3038.56,3031.17,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,64,64,225857,3109.09,3097.67,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,64,64,245075,2858.28,2856.34,ns,,,,,,9.375,1,5912
TestBloomFilterStringQuery,8,4096,64,64,220054,3180.86,3179.95,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,64,249732,2807.96,2804.35,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,64,249868,2810.49,2802.14,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,64,64,243677,2885.15,2873.97,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,64,64,252576,2775.25,2774.14,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,64,64,252029,2771.64,2770.9,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,64,250523,2799.92,2795,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,64,249974,2826.15,2806.87,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,64,248004,2845.75,2821.01,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,64,64,251649,2786.03,2784.34,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,64,64,249953,2802.39,2800.52,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,64,64,246640,2852.89,2841.53,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,64,64,245710,2877.7,2852.14,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,64,64,243945,2896.78,2864.3,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,64,64,250426,2799.99,2798.68,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,64,64,247667,2822.5,2821.58,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,64,64,245079,2863.2,2850.37,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,64,64,244115,2901.42,2868.73,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,64,64,243701,2900.17,2872.38,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,512,64,42610,16440.8,16427.3,ns,,,,,,95.3125,1,1448
TestBloomFilterStringQuery,8,1000,512,64,19188,36500.1,36487.8,ns,,,,,,85.9375,3,4328
TestBloomFilterStringQuery,64,1000,512,64,23471,29828,29814.5,ns,,,,,,3.125,6,8656
TestBloomFilterStringQuery,512,1000,512,64,26318,26622.8,26607.5,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,64,24446,28676.8,28661.8,ns,,,,,,2.53906,11,15872
TestBloomFilterStringQuery,2,4096,512,64,36859,19002.4,18987.5,ns,,,,,,50.7812,1,5912
TestBloomFilterStringQuery,8,4096,512,64,32407,21617.3,21608.1,ns,,,,,,14.4531,3,17728
TestBloomFilterStringQuery,64,4096,512,64,37648,18601.9,18589.6,ns,,,,,,0.390625,6,35456
TestBloomFilterStringQuery,512,4096,512,64,39691,17647.9,17636.1,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,64,37838,18548.3,18532.4,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,64,44325,15795.5,15782.4,ns,,,,,,10.7422,1,47280
TestBloomFilterStringQuery,8,32768,512,64,43218,16215.6,16198.2,ns,,,,,,1.17188,3,141824
TestBloomFilterStringQuery,64,32768,512,64,45921,15282.1,15255.3,ns,,,,,,0,6,283648
