function,inv_max_fpr,projected_eles,batch_size,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,8,8,4096,13,5.28708e+07,5.286e+07,ns,,,,,,100,3,40
TestBloomFilterStringQuery,64,8,4096,12,5.36653e+07,5.36504e+07,ns,,,,,,100,6,72
TestBloomFilterStringQuery,512,8,4096,14,5.3422e+07,5.3408e+07,ns,,,,,,100,9,104
TestBloomFilterStringQuery,2048,8,4096,13,5.33102e+07,5.33008e+07,ns,,,,,,100,11,128
TestBloomFilterStringQuery,2,64,4096,14,5.27703e+07,5.27481e+07,ns,,,,,,100,1,96
TestBloomFilterStringQuery,8,64,4096,13,5.16734e+07,5.16663e+07,ns,,,,,,100,3,280
TestBloomFilterStringQuery,64,64,4096,13,5.27661e+07,5.27568e+07,ns,,,,,,100,6,560
TestBloomFilterStringQuery,512,64,4096,13,5.35173e+07,5.34992e+07,ns,,,,,,100,9,832
TestBloomFilterStringQuery,2048,64,4096,13,5.34095e+07,5.33682e+07,ns,,,,,,100,11,1016
TestBloomFilterStringQuery,2,512,4096,14,5.29514e+07,5.29321e+07,ns,,,,,,99.8291,1,744
TestBloomFilterStringQuery,8,512,4096,13,5.30257e+07,5.29958e+07,ns,,,,,,98.8037,3,2216
TestBloomFilterStringQuery,64,512,4096,13,5.26549e+07,5.26483e+07,ns,,,,,,97.4121,6,4432
TestBloomFilterStringQuery,512,512,4096,13,5.34173e+07,5.33995e+07,ns,,,,,,96.0205,9,6648
TestBloomFilterStringQuery,2048,512,4096,13,5.42314e+07,5.42146e+07,ns,,,,,,95.8008,11,8128
TestBloomFilterStringQuery,2,4096,4096,13,5.30169e+07,5.30035e+07,ns,,,,,,50.7812,1,5912
TestBloomFilterStringQuery,8,4096,4096,14,5.35666e+07,5.3542e+07,ns,,,,,,13.501,3,17728
TestBloomFilterStringQuery,64,4096,4096,13,5.26729e+07,5.26618e+07,ns,,,,,,1.63574,6,35456
TestBloomFilterStringQuery,512,4096,4096,13,5.28446e+07,5.28239e+07,ns,,,,,,0.195312,9,53184
TestBloomFilterStringQuery,2048,4096,4096,13,5.31772e+07,5.3167e+07,ns,,,,,,0.12207,11,65008
TestBloomFilterStringQuery,2,32768,4096,14,5.19909e+07,5.19836e+07,ns,,,,,,8.69141,1,47280
TestBloomFilterStringQuery,8,32768,4096,14,5.3608e+07,5.35367e+07,ns,,,,,,0.0732422,3,141824
TestBloomFilterStringQuery,64,32768,4096,13,5.27975e+07,5.27649e+07,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,4096,13,5.19501e+07,5.19214e+07,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,4096,13,5.27287e+07,5.27139e+07,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,60000,4096,13,5.15923e+07,5.15786e+07,ns,,,,,,4.44336,1,86568
TestBloomFilterStringQuery,8,60000,4096,14,5.40133e+07,5.38544e+07,ns,,,,,,0.0244141,3,259688
TestBloomFilterStringQuery,64,60000,4096,14,5.10655e+07,5.1058e+07,ns,,,,,,0,6,519376
TestBloomFilterStringQuery,512,60000,4096,14,5.39441e+07,5.38941e+07,ns,,,,,,0,9,779056
TestBloomFilterStringQuery,2048,60000,4096,14,5.22847e+07,5.22748e+07,ns,,,,,,0,11,952184
TestBloomFilterStringQuery,2,4,29318,2,3.55213e+08,3.55165e+08,ns,,,,,,100,1,8
TestBloomFilterStringQuery,8,4,29318,2,3.61646e+08,3.61566e+08,ns,,,,,,100,3,24
TestBloomFilterStringQuery,64,4,29318,2,3.56587e+08,3.56452e+08,ns,,,,,,100,6,40
TestBloomFilterStringQuery,512,4,29318,2,3.74022e+08,3.73759e+08,ns,,,,,,100,9,56
TestBloomFilterStringQuery,2048,4,29318,2,3.68644e+08,3.68544e+08,ns,,,,,,100,11,64
TestBloomFilterStringQuery,2,8,29318,2,3.59965e+08,3.59937e+08,ns,,,,,,100,1,16
TestBloomFilterStringQuery,8,8,29318,2,3.60374e+08,3.6028e+08,ns,,,,,,100,3,40
TestBloomFilterStringQuery,64,8,29318,2,3.63516e+08,3.63438e+08,ns,,,,,,100,6,72
TestBloomFilterStringQuery,512,8,29318,2,3.67711e+08,3.67667e+08,ns,,,,,,100,9,104
