function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,64,1000,8192,10,695,1.02493e+06,1.02435e+06,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8192,10,420,1.6767e+06,1.67575e+06,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8192,10,420,1.65829e+06,1.65757e+06,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8192,10,677,1.01881e+06,1.01847e+06,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8192,10,696,1.02025e+06,1.01908e+06,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8192,10,679,1.00799e+06,1.0075e+06,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8192,10,473,1.4875e+06,1.48682e+06,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8192,10,494,1.43293e+06,1.43205e+06,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8192,10,704,1.0134e+06,1.01307e+06,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8192,10,694,1.02028e+06,1.01962e+06,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8192,10,682,1.01005e+06,1.00967e+06,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8192,10,649,1.09581e+06,1.09528e+06,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8192,10,637,1.08799e+06,1.08749e+06,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8192,10,674,1.01781e+06,1.01725e+06,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8192,10,696,1.01283e+06,1.01247e+06,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8192,10,678,1.02182e+06,1.02128e+06,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8192,10,659,1.03861e+06,1.03818e+06,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8192,10,682,1.04009e+06,1.03932e+06,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8192,10,661,1.01806e+06,1.01775e+06,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8192,10,687,1.02688e+06,1.02655e+06,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8192,10,682,1.04145e+06,1.04086e+06,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8192,10,660,1.06757e+06,1.06667e+06,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8192,10,641,1.07946e+06,1.0788e+06,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8,64,82836,8610.91,8474.07,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,64,76037,9392.99,9198.27,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,64,68856,10431.8,10169.2,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,64,60787,11943.6,11633.7,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,64,58769,12314.3,11976.7,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,64,82014,8532.57,8400.16,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,64,76821,9483.09,9286.31,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,64,68474,10286.3,10044.2,ns,,,,,,0,6,35456
