2019-11-18 16:28:01
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 6.71, 4.42, 3.96
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/131072",12,6.07844e+07,6.06348e+07,ns,,,,,,0.00152588,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/131072",12,6.10398e+07,6.09783e+07,ns,,,,,,0.000762939,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/131072",11,5.87355e+07,5.87145e+07,ns,,,,,,0.000762939,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/131072",12,5.78662e+07,5.78534e+07,ns,,,,,,0.00686646,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/131072",11,6.05851e+07,6.05372e+07,ns,,,,,,0.000762939,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/131072",11,6.49068e+07,6.46102e+07,ns,,,,,,0.000762939,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/131072",12,6.4397e+07,6.42085e+07,ns,,,,,,0.000762939,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/131072",11,6.18902e+07,6.18516e+07,ns,,,,,,0.000762939,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/131072",11,6.55395e+07,6.54397e+07,ns,,,,,,0.000762939,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/131072",9,6.6082e+07,6.60384e+07,ns,,,,,,0.000762939,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/131072",11,6.62311e+07,6.61835e+07,ns,,,,,,0.000762939,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/131072",11,7.38912e+07,7.36533e+07,ns,,,,,,0.000762939,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/131072",8,6.58633e+07,6.58056e+07,ns,,,,,,0.000762939,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/131072",10,6.95327e+07,6.86064e+07,ns,,,,,,0.000762939,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/131072",10,6.74203e+07,6.7096e+07,ns,,,,,,0.000762939,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/131072",8,6.97349e+07,6.96988e+07,ns,,,,,,0.000762939,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/131072",10,6.75495e+07,6.74776e+07,ns,,,,,,0.000762939,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/131072",10,6.70171e+07,6.69633e+07,ns,,,,,,0.000762939,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/131072",10,6.90365e+07,6.8575e+07,ns,,,,,,0.000762939,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/131072",10,7.04706e+07,7.03958e+07,ns,,,,,,0.000762939,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/131072",10,6.84557e+07,6.84052e+07,ns,,,,,,0.000762939,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/131072",10,6.89935e+07,6.88408e+07,ns,,,,,,0.000762939,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/131072",10,7.16033e+07,7.13148e+07,ns,,,,,,0.000762939,13,1.57517e+09
