2020-03-09 20:40:53
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.43, 2.61, 2.40
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/2/4/512",5,1.57549e+08,1.56744e+08,ns,,,,,,100,1,8
"MyFixtureLearned/TestBloomFilterStringQuery/8/4/512",5,1.5382e+08,1.53288e+08,ns,,,,,,89.4531,3,24
"MyFixtureLearned/TestBloomFilterStringQuery/64/4/512",4,1.51584e+08,1.51113e+08,ns,,,,,,86.5234,6,40
"MyFixtureLearned/TestBloomFilterStringQuery/512/4/512",4,1.51229e+08,1.50981e+08,ns,,,,,,100,9,56
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4/512",4,1.45212e+08,1.45086e+08,ns,,,,,,84.5703,11,64
"MyFixtureLearned/TestBloomFilterStringQuery/2/8/512",5,1.54101e+08,1.53757e+08,ns,,,,,,91.6016,1,16
"MyFixtureLearned/TestBloomFilterStringQuery/8/8/512",5,2.28166e+08,2.18937e+08,ns,,,,,,62.3047,3,40
"MyFixtureLearned/TestBloomFilterStringQuery/64/8/512",5,1.55145e+08,1.54451e+08,ns,,,,,,38.8672,6,72
"MyFixtureLearned/TestBloomFilterStringQuery/512/8/512",5,1.47992e+08,1.47659e+08,ns,,,,,,44.7266,9,104
"MyFixtureLearned/TestBloomFilterStringQuery/2048/8/512",5,1.58601e+08,1.57734e+08,ns,,,,,,35.7422,11,128
"MyFixtureLearned/TestBloomFilterStringQuery/2/64/512",4,1.54914e+08,1.54333e+08,ns,,,,,,26.9531,1,96
"MyFixtureLearned/TestBloomFilterStringQuery/8/64/512",4,1.54467e+08,1.53905e+08,ns,,,,,,4.10156,3,280
"MyFixtureLearned/TestBloomFilterStringQuery/64/64/512",5,2.09222e+08,2.06767e+08,ns,,,,,,3.32031,6,560
"MyFixtureLearned/TestBloomFilterStringQuery/512/64/512",5,1.52854e+08,1.5263e+08,ns,,,,,,3.32031,9,832
"MyFixtureLearned/TestBloomFilterStringQuery/2048/64/512",5,1.49021e+08,1.48758e+08,ns,,,,,,3.32031,11,1016
"MyFixtureLearned/TestBloomFilterStringQuery/2/512/512",5,1.47634e+08,1.47514e+08,ns,,,,,,5.27344,1,744
"MyFixtureLearned/TestBloomFilterStringQuery/8/512/512",5,1.48119e+08,1.47924e+08,ns,,,,,,3.32031,3,2216
"MyFixtureLearned/TestBloomFilterStringQuery/64/512/512",5,1.51072e+08,1.50909e+08,ns,,,,,,3.32031,6,4432
"MyFixtureLearned/TestBloomFilterStringQuery/512/512/512",4,1.50489e+08,1.50286e+08,ns,,,,,,3.32031,9,6648
"MyFixtureLearned/TestBloomFilterStringQuery/2048/512/512",4,2.0782e+08,2.01729e+08,ns,,,,,,3.32031,11,8128
"MyFixtureLearned/TestBloomFilterStringQuery/2/4096/512",5,1.57004e+08,1.56394e+08,ns,,,,,,3.51562,1,5912
"MyFixtureLearned/TestBloomFilterStringQuery/8/4096/512",5,1.45012e+08,1.44919e+08,ns,,,,,,3.32031,3,17728
"MyFixtureLearned/TestBloomFilterStringQuery/64/4096/512",4,1.57403e+08,1.57155e+08,ns,,,,,,3.32031,6,35456
"MyFixtureLearned/TestBloomFilterStringQuery/512/4096/512",4,1.51985e+08,1.51414e+08,ns,,,,,,3.32031,9,53184
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4096/512",5,1.4351e+08,1.43292e+08,ns,,,,,,3.32031,11,65008
"MyFixtureLearned/TestBloomFilterStringQuery/2/32768/512",5,1.46772e+08,1.46374e+08,ns,,,,,,3.32031,1,47280
"MyFixtureLearned/TestBloomFilterStringQuery/8/32768/512",5,1.51205e+08,1.50764e+08,ns,,,,,,3.32031,3,141824
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/512",5,1.54091e+08,1.5343e+08,ns,,,,,,3.32031,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/512",4,1.54416e+08,1.54122e+08,ns,,,,,,3.32031,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/2048/32768/512",5,1.59429e+08,1.58429e+08,ns,,,,,,3.32031,11,520016
"MyFixtureLearned/TestBloomFilterStringQuery/2/60000/512",5,1.5407e+08,1.53597e+08,ns,,,,,,3.32031,1,86568
"MyFixtureLearned/TestBloomFilterStringQuery/8/60000/512",4,1.50002e+08,1.49336e+08,ns,,,,,,3.32031,3,259688
"MyFixtureLearned/TestBloomFilterStringQuery/64/60000/512",4,1.60584e+08,1.59823e+08,ns,,,,,,3.32031,6,519376
"MyFixtureLearned/TestBloomFilterStringQuery/512/60000/512",5,1.59544e+08,1.58395e+08,ns,,,,,,3.32031,9,779056
"MyFixtureLearned/TestBloomFilterStringQuery/2048/60000/512",5,1.6155e+08,1.60864e+08,ns,,,,,,3.32031,11,952184
"MyFixtureLearned/TestBloomFilterStringQuery/2/4/4096",1,1.33224e+09,1.32571e+09,ns,,,,,,100,1,8
"MyFixtureLearned/TestBloomFilterStringQuery/8/4/4096",1,1.19513e+09,1.19437e+09,ns,,,,,,100,3,24
"MyFixtureLearned/TestBloomFilterStringQuery/64/4/4096",1,1.3083e+09,1.30086e+09,ns,,,,,,100,6,40
"MyFixtureLearned/TestBloomFilterStringQuery/512/4/4096",1,1.25286e+09,1.25082e+09,ns,,,,,,100,9,56
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4/4096",1,1.20573e+09,1.20493e+09,ns,,,,,,100,11,64
"MyFixtureLearned/TestBloomFilterStringQuery/2/8/4096",1,1.36278e+09,1.35341e+09,ns,,,,,,100,1,16
"MyFixtureLearned/TestBloomFilterStringQuery/8/8/4096",1,1.48251e+09,1.46885e+09,ns,,,,,,100,3,40
"MyFixtureLearned/TestBloomFilterStringQuery/64/8/4096",1,1.44548e+09,1.43577e+09,ns,,,,,,100,6,72
"MyFixtureLearned/TestBloomFilterStringQuery/512/8/4096",1,1.30193e+09,1.29697e+09,ns,,,,,,100,9,104
"MyFixtureLearned/TestBloomFilterStringQuery/2048/8/4096",1,1.54798e+09,1.51717e+09,ns,,,,,,100,11,128
"MyFixtureLearned/TestBloomFilterStringQuery/2/64/4096",1,1.44402e+09,1.43421e+09,ns,,,,,,97.8271,1,96
"MyFixtureLearned/TestBloomFilterStringQuery/8/64/4096",1,1.408e+09,1.40603e+09,ns,,,,,,84.3506,3,280
"MyFixtureLearned/TestBloomFilterStringQuery/64/64/4096",1,1.37725e+09,1.3756e+09,ns,,,,,,77.0264,6,560
"MyFixtureLearned/TestBloomFilterStringQuery/512/64/4096",1,1.64275e+09,1.62689e+09,ns,,,,,,73.2422,9,832
"MyFixtureLearned/TestBloomFilterStringQuery/2048/64/4096",1,3.06353e+09,2.89856e+09,ns,,,,,,68.4082,11,1016
"MyFixtureLearned/TestBloomFilterStringQuery/2/512/4096",1,1.90866e+09,1.89898e+09,ns,,,,,,36.499,1,744
"MyFixtureLearned/TestBloomFilterStringQuery/8/512/4096",1,1.61122e+09,1.60151e+09,ns,,,,,,7.34863,3,2216
"MyFixtureLearned/TestBloomFilterStringQuery/64/512/4096",1,1.58936e+09,1.58585e+09,ns,,,,,,4.12598,6,4432
"MyFixtureLearned/TestBloomFilterStringQuery/512/512/4096",1,1.62425e+09,1.59768e+09,ns,,,,,,4.05273,9,6648
"MyFixtureLearned/TestBloomFilterStringQuery/2048/512/4096",1,1.48809e+09,1.48661e+09,ns,,,,,,4.02832,11,8128
"MyFixtureLearned/TestBloomFilterStringQuery/2/4096/4096",1,1.71933e+09,1.70087e+09,ns,,,,,,9.05762,1,5912
"MyFixtureLearned/TestBloomFilterStringQuery/8/4096/4096",1,1.33715e+09,1.33568e+09,ns,,,,,,4.05273,3,17728
"MyFixtureLearned/TestBloomFilterStringQuery/64/4096/4096",1,3.06274e+09,2.25401e+09,ns,,,,,,4.02832,6,35456
"MyFixtureLearned/TestBloomFilterStringQuery/512/4096/4096",1,1.5228e+09,1.48903e+09,ns,,,,,,4.02832,9,53184
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4096/4096",1,1.30627e+09,1.30521e+09,ns,,,,,,4.02832,11,65008
"MyFixtureLearned/TestBloomFilterStringQuery/2/32768/4096",1,1.19758e+09,1.19649e+09,ns,,,,,,4.88281,1,47280
"MyFixtureLearned/TestBloomFilterStringQuery/8/32768/4096",1,1.23155e+09,1.23089e+09,ns,,,,,,4.02832,3,141824
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/4096",1,1.29835e+09,1.28775e+09,ns,,,,,,4.02832,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/4096",1,1.31983e+09,1.31832e+09,ns,,,,,,4.02832,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/2048/32768/4096",1,1.26302e+09,1.25935e+09,ns,,,,,,4.02832,11,520016
"MyFixtureLearned/TestBloomFilterStringQuery/2/60000/4096",1,1.15761e+09,1.15682e+09,ns,,,,,,4.39453,1,86568
"MyFixtureLearned/TestBloomFilterStringQuery/8/60000/4096",1,1.1897e+09,1.18829e+09,ns,,,,,,4.02832,3,259688
"MyFixtureLearned/TestBloomFilterStringQuery/64/60000/4096",1,1.19603e+09,1.19457e+09,ns,,,,,,4.02832,6,519376
"MyFixtureLearned/TestBloomFilterStringQuery/512/60000/4096",1,1.22462e+09,1.21866e+09,ns,,,,,,4.02832,9,779056
"MyFixtureLearned/TestBloomFilterStringQuery/2048/60000/4096",1,1.18445e+09,1.18192e+09,ns,,,,,,4.02832,11,952184
"MyFixtureLearned/TestBloomFilterStringQuery/2/4/29318",1,9.35211e+09,9.3121e+09,ns,,,,,,100,1,8
"MyFixtureLearned/TestBloomFilterStringQuery/8/4/29318",1,9.67406e+09,9.5978e+09,ns,,,,,,100,3,24
