2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/1/27",1,4.67654e+09,4.67405e+09,ns,,,,,,2.27692,88628,4,68608,0.0482793,0.925
"MyFixtureLearned/TestBloomFilterStringQuery/1/28",1,4.90548e+09,4.85951e+09,ns,,,,,,2.01881,88628,4,68608,0.0482793,0.95
"MyFixtureLearned/TestBloomFilterStringQuery/1/29",3,2.0883e+08,2.08695e+08,ns,,,,,,20.7504,88628,4,68608,0.0482793,1
"MyFixtureLearned/TestBloomFilterStringQuery/2/0",1,4.57261e+09,4.57046e+09,ns,,,,,,10.7946,88628,4,69480,0.0465586,0.25
"MyFixtureLearned/TestBloomFilterStringQuery/2/1",1,5.12703e+09,5.11815e+09,ns,,,,,,10.601,88628,4,69480,0.0465586,0.275
"MyFixtureLearned/TestBloomFilterStringQuery/2/2",1,5.35672e+09,5.33168e+09,ns,,,,,,9.87279,88628,4,69480,0.0465586,0.3
"MyFixtureLearned/TestBloomFilterStringQuery/2/3",1,4.84496e+09,4.8384e+09,ns,,,,,,9.13532,88628,4,69480,0.0465586,0.325
"MyFixtureLearned/TestBloomFilterStringQuery/2/4",1,4.83254e+09,4.82842e+09,ns,,,,,,8.94174,88628,4,69480,0.0465586,0.35
"MyFixtureLearned/TestBloomFilterStringQuery/2/5",1,5.33384e+09,5.19431e+09,ns,,,,,,8.13053,88628,4,69480,0.0465586,0.375
"MyFixtureLearned/TestBloomFilterStringQuery/2/6",1,4.83256e+09,4.8288e+09,ns,,,,,,8.04757,88628,4,69480,0.0465586,0.4
"MyFixtureLearned/TestBloomFilterStringQuery/2/7",1,4.87681e+09,4.86796e+09,ns,,,,,,7.70649,88628,4,69480,0.0465586,0.425
"MyFixtureLearned/TestBloomFilterStringQuery/2/8",1,4.8166e+09,4.81248e+09,ns,,,,,,7.43916,88628,4,69480,0.0465586,0.45
"MyFixtureLearned/TestBloomFilterStringQuery/2/9",1,4.80248e+09,4.79824e+09,ns,,,,,,7.01512,88628,4,69480,0.0465586,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/2/10",1,4.8446e+09,4.81308e+09,ns,,,,,,6.75701,88628,4,69480,0.0465586,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/2/11",1,4.77722e+09,4.7748e+09,ns,,,,,,6.39749,88628,4,69480,0.0465586,0.525
"MyFixtureLearned/TestBloomFilterStringQuery/2/12",1,4.70863e+09,4.70572e+09,ns,,,,,,6.13938,88628,4,69480,0.0465586,0.55
"MyFixtureLearned/TestBloomFilterStringQuery/2/13",1,4.77756e+09,4.77394e+09,ns,,,,,,5.71534,88628,4,69480,0.0465586,0.575
"MyFixtureLearned/TestBloomFilterStringQuery/2/14",1,4.70325e+09,4.70062e+09,ns,,,,,,5.41114,88628,4,69480,0.0465586,0.6
"MyFixtureLearned/TestBloomFilterStringQuery/2/15",1,4.77767e+09,4.77525e+09,ns,,,,,,4.8396,88628,4,69480,0.0465586,0.625
"MyFixtureLearned/TestBloomFilterStringQuery/2/16",1,4.79239e+09,4.79009e+09,ns,,,,,,4.77507,88628,4,69480,0.0465586,0.65
"MyFixtureLearned/TestBloomFilterStringQuery/2/17",1,4.65847e+09,4.65538e+09,ns,,,,,,4.59993,88628,4,69480,0.0465586,0.675
"MyFixtureLearned/TestBloomFilterStringQuery/2/18",1,4.79168e+09,4.78467e+09,ns,,,,,,4.25885,88628,4,69480,0.0465586,0.7
"MyFixtureLearned/TestBloomFilterStringQuery/2/19",1,5.04555e+09,5.03762e+09,ns,,,,,,4.0837,88628,4,69480,0.0465586,0.725
"MyFixtureLearned/TestBloomFilterStringQuery/2/20",1,4.74413e+09,4.74184e+09,ns,,,,,,3.93621,88628,4,69480,0.0465586,0.75
"MyFixtureLearned/TestBloomFilterStringQuery/2/21",1,4.67502e+09,4.67243e+09,ns,,,,,,3.64122,88628,4,69480,0.0465586,0.775
"MyFixtureLearned/TestBloomFilterStringQuery/2/22",1,4.68911e+09,4.68659e+09,ns,,,,,,3.56748,88628,4,69480,0.0465586,0.8
"MyFixtureLearned/TestBloomFilterStringQuery/2/23",1,4.73005e+09,4.72662e+09,ns,,,,,,3.21718,88628,4,69480,0.0465586,0.825
"MyFixtureLearned/TestBloomFilterStringQuery/2/24",1,4.63557e+09,4.633e+09,ns,,,,,,3.05125,88628,4,69480,0.0465586,0.85
"MyFixtureLearned/TestBloomFilterStringQuery/2/25",1,4.74547e+09,4.74283e+09,ns,,,,,,2.66409,88628,4,69480,0.0465586,0.875
"MyFixtureLearned/TestBloomFilterStringQuery/2/26",1,4.85763e+09,4.85201e+09,ns,,,,,,2.38754,88628,4,69480,0.0465586,0.9
"MyFixtureLearned/TestBloomFilterStringQuery/2/27",1,4.81084e+09,4.80798e+09,ns,,,,,,2.24004,88628,4,69480,0.0465586,0.925
"MyFixtureLearned/TestBloomFilterStringQuery/2/28",1,4.90869e+09,4.90469e+09,ns,,,,,,1.9635,88628,4,69480,0.0465586,0.95
"MyFixtureLearned/TestBloomFilterStringQuery/2/29",3,2.09424e+08,2.09231e+08,ns,,,,,,20.8794,88628,4,69480,0.0465586,1
"MyFixtureLearned/TestBloomFilterStringQuery/3/0",1,4.58885e+09,4.58629e+09,ns,,,,,,11.1357,88628,5,70352,0.0448379,0.25
"MyFixtureLearned/TestBloomFilterStringQuery/3/1",1,4.83441e+09,4.82711e+09,ns,,,,,,10.3245,88628,5,70352,0.0448379,0.275
"MyFixtureLearned/TestBloomFilterStringQuery/3/2",1,4.9068e+09,4.90296e+09,ns,,,,,,9.69764,88628,5,70352,0.0448379,0.3
"MyFixtureLearned/TestBloomFilterStringQuery/3/3",1,4.79532e+09,4.79292e+09,ns,,,,,,9.10767,88628,5,70352,0.0448379,0.325
"MyFixtureLearned/TestBloomFilterStringQuery/3/4",1,4.78283e+09,4.74547e+09,ns,,,,,,8.97861,88628,5,70352,0.0448379,0.35
"MyFixtureLearned/TestBloomFilterStringQuery/3/5",1,4.75517e+09,4.75238e+09,ns,,,,,,8.60066,88628,5,70352,0.0448379,0.375
"MyFixtureLearned/TestBloomFilterStringQuery/3/6",1,4.71485e+09,4.71222e+09,ns,,,,,,8.18584,88628,5,70352,0.0448379,0.4
"MyFixtureLearned/TestBloomFilterStringQuery/3/7",1,4.7557e+09,4.75347e+09,ns,,,,,,7.77102,88628,5,70352,0.0448379,0.425
"MyFixtureLearned/TestBloomFilterStringQuery/3/8",1,4.73223e+09,4.7296e+09,ns,,,,,,7.42994,88628,5,70352,0.0448379,0.45
"MyFixtureLearned/TestBloomFilterStringQuery/3/9",1,4.70682e+09,4.70406e+09,ns,,,,,,7.08886,88628,5,70352,0.0448379,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/3/10",1,4.70955e+09,4.70722e+09,ns,,,,,,6.74779,88628,5,70352,0.0448379,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/3/11",1,4.66488e+09,4.6627e+09,ns,,,,,,6.25922,88628,5,70352,0.0448379,0.525
"MyFixtureLearned/TestBloomFilterStringQuery/3/12",1,4.73179e+09,4.72808e+09,ns,,,,,,6.13016,88628,5,70352,0.0448379,0.55
"MyFixtureLearned/TestBloomFilterStringQuery/3/13",1,4.65042e+09,4.6479e+09,ns,,,,,,5.87205,88628,5,70352,0.0448379,0.575
